-1;
31;American-Style India Pale Ale
-1;
-1;
42;American-Style Stout
-1;
-1;
31;American-Style India Pale Ale
95;American-Style Lager
13;Old Ale
86;German-Style Schwarzbier
95;American-Style Lager
-1;
55;South German-Style Weizenbock
26;American-Style Pale Ale
33;American-Style Amber/Red Ale
90;Traditional German-Style Bock
95;American-Style Lager
-1;
-1;
-1;
-1;
-1;
32;Imperial or Double India Pale Ale
42;American-Style Stout
26;American-Style Pale Ale
33;American-Style Amber/Red Ale
26;American-Style Pale Ale
90;Traditional German-Style Bock
26;American-Style Pale Ale
90;Traditional German-Style Bock
26;American-Style Pale Ale
-1;
-1;
-1;
-1;
-1;
84;German-Style Oktoberfest
42;American-Style Stout
50;South German-Style Hefeweizen
50;South German-Style Hefeweizen
50;South German-Style Hefeweizen
-1;
86;German-Style Schwarzbier
-1;
-1;
84;German-Style Oktoberfest
-1;
-1;
90;Traditional German-Style Bock
-1;
25;Porter
42;American-Style Stout
95;American-Style Lager
25;Porter
-1;
26;American-Style Pale Ale
-1;
-1;
95;American-Style Lager
-1;
25;Porter
15;Scotch Ale
-1;
-1;
42;American-Style Stout
-1;
13;Old Ale
26;American-Style Pale Ale
95;American-Style Lager
38;American-Style Brown Ale
-1;
26;American-Style Pale Ale
-1;
33;American-Style Amber/Red Ale
33;American-Style Amber/Red Ale
25;Porter
26;American-Style Pale Ale
42;American-Style Stout
116;Light American Wheat Ale or Lager
-1;
-1;
-1;
-1;
31;American-Style India Pale Ale
-1;
95;American-Style Lager
38;American-Style Brown Ale
95;American-Style Lager
95;American-Style Lager
33;American-Style Amber/Red Ale
13;Old Ale
-1;
31;American-Style India Pale Ale
95;American-Style Lager
38;American-Style Brown Ale
-1;
-1;
26;American-Style Pale Ale
95;American-Style Lager
26;American-Style Pale Ale
-1;
-1;
95;American-Style Lager
33;American-Style Amber/Red Ale
13;Old Ale
-1;
26;American-Style Pale Ale
26;American-Style Pale Ale
13;Old Ale
-1;
26;American-Style Pale Ale
38;American-Style Brown Ale
42;American-Style Stout
-1;
95;American-Style Lager
70;Belgian-Style Fruit Lambic
42;American-Style Stout
90;Traditional German-Style Bock
-1;
38;American-Style Brown Ale
-1;
-1;
-1;
-1;
-1;
95;American-Style Lager
-1;
50;South German-Style Hefeweizen
-1;
38;American-Style Brown Ale
90;Traditional German-Style Bock
-1;
95;American-Style Lager
38;American-Style Brown Ale
38;American-Style Brown Ale
50;South German-Style Hefeweizen
95;American-Style Lager
-1;
-1;
38;American-Style Brown Ale
26;American-Style Pale Ale
-1;
95;American-Style Lager
-1;
116;Light American Wheat Ale or Lager
55;South German-Style Weizenbock
-1;
42;American-Style Stout
31;American-Style India Pale Ale
42;American-Style Stout
95;American-Style Lager
84;German-Style Oktoberfest
38;American-Style Brown Ale
26;American-Style Pale Ale
84;German-Style Oktoberfest
90;Traditional German-Style Bock
38;American-Style Brown Ale
116;Light American Wheat Ale or Lager
-1;
26;American-Style Pale Ale
-1;
72;Other Belgian-Style Ales
31;American-Style India Pale Ale
25;Porter
-1;
38;American-Style Brown Ale
-1;
42;American-Style Stout
-1;
141;Winter Warmer
-1;
-1;
-1;
25;Porter
-1;
10;English-Style Pale Mild Ale
33;American-Style Amber/Red Ale
38;American-Style Brown Ale
38;American-Style Brown Ale
26;American-Style Pale Ale
38;American-Style Brown Ale
38;American-Style Brown Ale
-1;
-1;
86;German-Style Schwarzbier
25;Porter
33;American-Style Amber/Red Ale
-1;
95;American-Style Lager
26;American-Style Pale Ale
15;Scotch Ale
84;German-Style Oktoberfest
95;American-Style Lager
-1;
-1;
38;American-Style Brown Ale
-1;
-1;
42;American-Style Stout
42;American-Style Stout
26;American-Style Pale Ale
-1;
25;Porter
-1;
90;Traditional German-Style Bock
61;Belgian-Style Tripel
13;Old Ale
-1;
50;South German-Style Hefeweizen
70;Belgian-Style Fruit Lambic
70;Belgian-Style Fruit Lambic
90;Traditional German-Style Bock
-1;
-1;
-1;
84;German-Style Oktoberfest
84;German-Style Oktoberfest
95;American-Style Lager
-1;
84;German-Style Oktoberfest
-1;
84;German-Style Oktoberfest
25;Porter
15;Scotch Ale
26;American-Style Pale Ale
25;Porter
33;American-Style Amber/Red Ale
95;American-Style Lager
-1;
86;German-Style Schwarzbier
33;American-Style Amber/Red Ale
42;American-Style Stout
10;English-Style Pale Mild Ale
42;American-Style Stout
-1;
13;Old Ale
-1;
-1;
-1;
-1;
50;South German-Style Hefeweizen
50;South German-Style Hefeweizen
-1;
50;South German-Style Hefeweizen
-1;
-1;
90;Traditional German-Style Bock
86;German-Style Schwarzbier
25;Porter
86;German-Style Schwarzbier
26;American-Style Pale Ale
-1;
15;Scotch Ale
-1;
-1;
-1;
95;American-Style Lager
-1;
50;South German-Style Hefeweizen
-1;
26;American-Style Pale Ale
84;German-Style Oktoberfest
25;Porter
95;American-Style Lager
55;South German-Style Weizenbock
116;Light American Wheat Ale or Lager
95;American-Style Lager
21;Oatmeal Stout
37;Golden or Blonde Ale
38;American-Style Brown Ale
57;German-Style Brown Ale/Altbier
121;Fruit Beer
15;Scotch Ale
26;American-Style Pale Ale
72;Other Belgian-Style Ales
61;Belgian-Style Tripel
43;American-Style Imperial Stout
15;Scotch Ale
33;American-Style Amber/Red Ale
55;South German-Style Weizenbock
91;German-Style Heller Bock/Maibock
26;American-Style Pale Ale
4;Special Bitter or Best Bitter
66;Belgian-Style Dark Strong Ale
65;Belgian-Style Pale Strong Ale
35;American-Style Barley Wine Ale
116;Light American Wheat Ale or Lager
-1;
26;American-Style Pale Ale
33;American-Style Amber/Red Ale
-1;
26;American-Style Pale Ale
-1;
25;Porter
-1;
29;Dark American-Belgo-Style Ale
15;Scotch Ale
38;American-Style Brown Ale
-1;
90;Traditional German-Style Bock
31;American-Style India Pale Ale
-1;
-1;
84;German-Style Oktoberfest
1;Classic English-Style Pale Ale
42;American-Style Stout
50;South German-Style Hefeweizen
92;German-Style Doppelbock
38;American-Style Brown Ale
31;American-Style India Pale Ale
38;American-Style Brown Ale
77;German-Style Pilsener
-1;
38;American-Style Brown Ale
-1;
26;American-Style Pale Ale
31;American-Style India Pale Ale
26;American-Style Pale Ale
33;American-Style Amber/Red Ale
-1;
42;American-Style Stout
91;German-Style Heller Bock/Maibock
-1;
31;American-Style India Pale Ale
-1;
72;Other Belgian-Style Ales
0;
-1;
-1;
50;South German-Style Hefeweizen
