1036;Wee Heavy;;98;1;15;6,5;0;0;0;;2010-07-22T22:00:00+02:00
1037;Roza Reserve;;1162;-1;-1;0;0;0;0;;2010-07-22T22:00:00+02:00
1038;Winterfestival;;26;7;84;5,5;0;0;0;;2010-07-22T22:00:00+02:00
1038;Winterfestival;;26;7;84;5,5;0;0;0;;2010-07-22T22:00:00+02:00
1039;St. Martin Doppelbock;;15;7;90;7,5;0;0;0;;2010-07-22T22:00:00+02:00
104;Lump of Coal Dark Holiday Stout;;1056;3;42;8;0;0;0;;2010-07-22T22:00:00+02:00
1040;Jubiläums German Pils;;15;-1;-1;0;0;0;0;;2010-07-22T22:00:00+02:00
1041;Bayrisch Hell;;26;-1;-1;4,699999809;0;0;0;;2010-07-22T22:00:00+02:00
1042;Sprecher Doppelbock;This dark lager was originally brewed as liquid bread to sustain Bavarian monks while fasting. Its sweet complex malt character comes from brewing with many varieties of dark roasted caramel malts and long periods of cold storage (6 months).;1181;7;92;7,849999905;0;0;0;;2010-07-22T22:00:00+02:00
1043;Gingered Ale;;1295;-1;-1;0;0;0;0;;2010-07-22T22:00:00+02:00
1044;Bourbon Barrel Scotch Ale;;1295;-1;-1;7,5;0;0;0;;2010-07-22T22:00:00+02:00
1045;Burntwood Black Ale;;1295;2;25;0;0;0;0;;2010-07-22T22:00:00+02:00
1046;Derailed Ale;;1295;3;26;0;0;0;0;;2010-07-22T22:00:00+02:00
1047;Habañero;;527;-1;-1;0;0;0;0;;2010-07-22T22:00:00+02:00
1048;1100 Wheat Wine;;527;-1;-1;11,5;0;0;0;;2010-07-22T22:00:00+02:00
1049;Witchtree ESB;;527;-1;-1;5,599999905;0;0;0;;2010-07-22T22:00:00+02:00
105;Warm Welcome Nut Browned Ale;;1056;3;38;6;0;0;0;;2010-07-22T22:00:00+02:00
1050;Big Boat Oatmeal Stout;;527;3;42;6,599999905;0;0;0;;2010-07-22T22:00:00+02:00
1051;XXX English Ale;;527;3;26;6,599999905;0;0;0;;2010-07-22T22:00:00+02:00
1052;El Niño IPA;;527;3;31;0;0;0;0;;2010-07-22T22:00:00+02:00
1053;Starfire Pale Ale;;527;3;26;6,199999809;0;0;0;;2010-07-22T22:00:00+02:00
1054;Farmhouse Reserve;;527;-1;-1;6,300000191;0;0;0;;2010-07-22T22:00:00+02:00
1055;Lighthouse Ale;;527;8;95;4,400000095;0;0;0;;2010-07-22T22:00:00+02:00
1056;Chocolate Mint Stout;;1169;-1;-1;0;0;0;0;;2010-07-22T22:00:00+02:00
1057;Porter;;1169;2;25;0;0;0;0;;2010-07-22T22:00:00+02:00
1058;Pale Ale;;1169;3;26;0;0;0;0;;2010-07-22T22:00:00+02:00
1059;Nut Brown Ale;;1169;3;38;4,199999809;0;0;0;;2010-07-22T22:00:00+02:00
